company,date,price,return,company_name
A,2008-10-31,14.044912338256836,,Agilent Technologies
A,2009-07-31,14.696839332580566,4.435831266648684,Agilent Technologies
A,2009-10-31,15.658906936645508,6.143900132731985,Agilent Technologies
A,2010-01-31,17.74126625061035,11.737377053868432,Agilent Technologies
A,2010-04-30,22.950355529785156,22.697205158388098,Agilent Technologies
A,2010-07-31,17.677982330322266,-29.824519003050597,Agilent Technologies
A,2010-10-31,22.026269912719727,19.741370643453397,Agilent Technologies
A,2011-01-31,26.475833892822266,16.806133465389504,Agilent Technologies
A,2011-04-30,31.589977264404297,16.189132802398902,Agilent Technologies
A,2011-07-31,26.684701919555664,-18.38235015566669,Agilent Technologies
A,2011-10-31,23.46303939819336,-13.730797901700539,Agilent Technologies
A,2012-01-31,26.880910873413086,12.714864802443197,Agilent Technologies
A,2012-04-30,26.75754165649414,-0.46106334618749706,Agilent Technologies
A,2012-07-31,24.35442543029785,-9.86726717521621,Agilent Technologies
A,2012-10-31,22.950986862182617,-6.114937786957404,Agilent Technologies
A,2013-01-31,28.626428604125977,19.82588125270139,Agilent Technologies
A,2013-04-30,26.5670223236084,-7.751739187901071,Agilent Technologies
A,2013-07-31,28.75632667541504,7.613296289606998,Agilent Technologies
A,2013-10-31,32.708274841308594,12.082410903868524,Agilent Technologies
A,2014-01-31,37.55644989013672,12.909034434858496,Agilent Technologies
A,2014-04-30,34.98649978637695,-7.345547909769621,Agilent Technologies
A,2014-07-31,36.396785736083984,3.8747541058518955,Agilent Technologies
A,2014-10-31,35.95461654663086,-1.2297980952728549,Agilent Technologies
A,2015-01-31,34.427276611328125,-4.436423922071636,Agilent Technologies
A,2015-04-30,37.80156707763672,8.926324295970293,Agilent Technologies
A,2015-07-31,37.51144790649414,-0.7734150168390366,Agilent Technologies
A,2015-10-31,34.68972396850586,-8.134178123037447,Agilent Technologies
A,2016-01-31,34.68324279785156,-0.018686749367906128,Agilent Technologies
A,2016-04-30,37.80466842651367,8.25672002580758,Agilent Technologies
A,2016-07-31,44.56439208984375,15.168441319029286,Agilent Technologies
A,2016-10-31,40.459228515625,-10.146420791571376,Agilent Technologies
A,2017-01-31,45.605369567871094,11.28406830381557,Agilent Technologies
A,2017-04-30,51.39484405517578,11.264699005778288,Agilent Technologies
A,2017-07-31,55.94445037841797,8.13236396544762,Agilent Technologies
A,2017-10-31,63.785606384277344,12.292986537778152,Agilent Technologies
A,2018-01-31,69.00113677978516,7.558615174925314,Agilent Technologies
A,2018-04-30,61.912837982177734,-11.448835215158226,Agilent Technologies
A,2018-07-31,62.345611572265625,0.6941524498260107,Agilent Technologies
A,2018-10-31,61.29500198364258,-1.7140216243135398,Agilent Technologies
A,2018-11-01,61.70180130004883,0.6592989310442191,Agilent Technologies
A,2019-01-31,72.12550354003906,14.452172571944292,Agilent Technologies
ADI,2008-11-01,14.067598342895508,-412.7065884452428,Analog Devices
ADI,2009-08-01,18.608606338500977,24.402730183023856,Analog Devices
ADI,2009-10-31,17.54988670349121,-6.032629457369397,Analog Devices
ALGN,2009-12-31,17.81999969482422,1.5157856114411807,Align Technology
